"C14Age","C14SD","Laboratorycode","Site"
3415.0,85.0,"AA-12483","SMM"
3745.0,75.0,"AA-12484","SMM"
3885.0,70.0,"AA-12486","SMM"
4975.0,70.0,"AA-12487","SMM"
4980.0,85.0,"AA-14775","SMM"
5590.0,65.0,"AA-14776","SMM"
1730.0,50.0,"AA-16493","Aussois"
4495.0,55.0,"AA-16494","SMM"
3970.0,45.0,"AA-16495","SMM"
2670.0,55.0,"AA-16496","SMM"
5125.0,50.0,"AA-16497","SMM"
5115.0,245.0,"AA-19115","SMM"
3680.0,95.0,"AA-19116","SMM"
3280.0,80.0,"AA-19117","SMM"
6715.0,95.0,"AA-19118","SMM"
3245.0,80.0,"AA-19119","SMM"
1025.0,100.0,"AA-20464","Aussois"
210.0,100.0,"AA-20465","Aussois"
1095.0,100.0,"AA-20466","Aussois"
405.0,55.0,"AA-20468","Aussois"
3170.0,115.0,"AA-20469","Aussois"
2330.0,110.0,"AA-20470","Aussois"
3845.0,75.0,"AA-20471","Aussois"
3340.0,65.0,"AA-20472","Aussois"
3605.0,65.0,"AA-20473","Aussois"
4175.0,105.0,"AA-20474","Aussois"
3955.0,65.0,"AA-20475","SMM"
3800.0,65.0,"AA-20476","SMM"
3148.0,39.0,"AA-62128","SMM"
3180.0,41.0,"AA-62129","SMM"
3263.0,39.0,"AA-62130","SMM"
1793.0,38.0,"AA-62131","SMM"
4068.0,42.0,"AA-62132","SMM"
3613.0,40.0,"AA-63126","Aussois"
5202.0,44.0,"AA-63487","SMM"
5607.0,47.0,"AA-63488","SMM"
4100.0,50.0,"Lyon-1078(OxA)","SMM"
2300.0,40.0,"Lyon-2592(Pol)","SMM"
120.0,35.0,"Lyon-2593(Pol)","SMM"
1230.0,50.0,"Lyon-298(OxA)","Aussois"
1700.0,50.0,"Lyon-299(OxA)","Aussois"
4665.0,60.0,"Lyon-300(OxA)","Aussois"
4530.0,60.0,"Lyon-301(OxA)","Aussois"
3580.0,65.0,"Lyon-302(OxA)","SMM"
4040.0,55.0,"Lyon-865(OxA)","SMM"
4605.0,45.0,"Lyon-866(OxA)","SMM"
6070.0,50.0,"Lyon-867(OxA)","SMM"
5550.0,55.0,"Lyon-868(OxA)","SMM"
4455.0,55.0,"Lyon-869(OxA)","SMM"
3675.0,55.0,"Lyon-870(OxA)","Aussois"
4730.0,45.0,"Lyon-871(OxA)","Aussois"
3990.0,40.0,"Lyon-872(OxA)","Aussois"
3745.0,45.0,"Lyon-873(OxA)","Aussois"
5470.0,50.0,"SacA-1650","SMM"
1600.0,35.0,"SacA-1651","SMM"
3875.0,40.0,"SacA-1652","SMM"
2890.0,35.0,"SacA-1653","SMM"
4335.0,45.0,"SacA-1654","SMM"
3840.0,40.0,"SacA-1655","SMM"
5270.0,45.0,"SacA-1656","SMM"
5210.0,45.0,"SacA-1657","SMM"
3515.0,35.0,"SacA-1658","SMM"
3755.0,40.0,"SacA-1659","SMM"
295.0,45.0,"SacA-3844","Aussois"
324.0,45.0,"SacA-3845","Aussois"
1150.0,50.0,"SacA-3846","Aussois"
2955.0,50.0,"SacA-3847","Aussois"
2945.0,50.0,"SacA-3848","Aussois"
5610.0,60.0,"SacA-3849","Aussois"
3100.0,50.0,"SacA-3850","Lanslevillard"
4900.0,60.0,"SacA-3851","Lanslevillard"
2925.0,45.0,"SacA-3852","Lanslevillard"
1060.0,50.0,"SacA-3853","Lanslevillard"
1090.0,45.0,"SacA-3854","Lanslevillard"
5730.0,60.0,"SacA-3855","Lanslevillard"
860.0,45.0,"SacA-3856","Lanslevillard"
2820.0,50.0,"SacA-3857","Lanslevillard"
365.0,50.0,"SacA-3858","Lanslevillard"
2855.0,50.0,"SacA-3859","Lanslevillard"
3145.0,45.0,"SacA-3860","Lanslevillard"
3125.0,45.0,"SacA-3861","Lanslevillard"
1020.0,40.0,"SacA-3862","Lanslevillard"
4350.0,50.0,"SacA-3863","Lanslevillard"
1740.0,60.0,"SacA-3864","Lanslevillard"
1710.0,45.0,"SacA-3865","Lanslevillard"
2180.0,45.0,"SacA-3866","Lanslevillard"
2170.0,45.0,"SacA-3867","Lanslevillard"
6210.0,60.0,"SacA-3868","Lanslevillard"
6240.0,60.0,"SacA-3869","Lanslevillard"
2250.0,50.0,"SacA-3870","Lanslevillard"
4440.0,50.0,"SacA-3871","Lanslevillard"
4670.0,50.0,"SacA-3872","Lanslevillard"
4510.0,50.0,"SacA-3873","Lanslevillard"